barrio,paquetes,modelo,comercios_barrio,cids_barrio,almacenes_barrio,comercios_seleccionados,semilla,total_kms_walk,total_hours_walk,total_kms_drive,total_hours_drive,distance_cost_van,distance_cost_ona,time_cost_van,time_cost_ona,total_cost
BENICALAP,650,M1,361.0,42.0,412.0,174.0,3.0,42.7806,9.067739999999999,14.2352,0.5257799999999999,2.6192800000000003,0.0,241.37262,0.0,243.9919
BENICALAP,650,M2,361.0,42.0,412.0,174.0,3.0,66.1982,13.93628,1.3253599999999999,0.04768,0.24388,3.6409,1.19918,195.2125,200.29646
BENICALAP,700,M1,361.0,42.0,412.0,183.6,3.0,44.4112,9.41456,14.6738,0.52744,2.7,0.0,250.14056,0.0,252.84052000000003
BENICALAP,700,M2,361.0,42.0,412.0,183.6,3.0,71.9452,15.155179999999998,1.28818,0.04186,0.23704,3.957,1.0532,212.28618,217.53339999999997
BENICALAP,750,M1,361.0,42.0,412.0,194.0,3.0,46.101600000000005,9.78498,14.488999999999999,0.5418000000000001,2.6659800000000002,0.0,259.82144,0.0,262.48744
BENICALAP,750,M2,361.0,42.0,412.0,194.0,3.0,75.9602,16.034219999999998,1.29204,0.04166,0.23773999999999998,4.1777999999999995,1.0478999999999998,224.59944000000002,230.06289999999998
BENICALAP,800,M1,361.0,42.0,412.0,203.8,3.0,49.081,10.40244,14.087,0.54836,2.59202,0.0,275.52264,0.0,278.11463999999995
BENICALAP,800,M2,361.0,42.0,412.0,203.8,3.0,78.4572,16.54662,1.217,0.0397,0.22391999999999998,4.31514,0.99902,231.77694000000002,237.31502
BENICALAP,850,M1,361.0,42.0,412.0,210.8,3.0,50.724599999999995,10.73644,14.526599999999998,0.54596,2.67288,0.0,283.86494,0.0,286.53784
BENICALAP,850,M2,361.0,42.0,412.0,210.8,3.0,83.2316,17.56326,1.3429,0.04378,0.24708000000000002,4.57774,1.1014199999999998,246.01742,251.94364000000002
BENICALAP,900,M1,361.0,42.0,412.0,220.2,3.0,53.9674,11.412279999999999,14.7994,0.55728,2.7230800000000004,0.0,301.15394000000003,0.0,303.87703999999997
BENICALAP,900,M2,361.0,42.0,412.0,220.2,3.0,87.983,18.55678,1.39568,0.051739999999999994,0.25682,4.83906,1.3019,259.93396,266.3317
BENICALAP,950,M1,361.0,42.0,412.0,229.2,3.0,54.590999999999994,11.55452,14.0522,0.53122,2.58562,0.0,304.07664,0.0,306.66224
BENICALAP,950,M2,361.0,42.0,412.0,229.2,3.0,91.35679999999999,19.254179999999998,1.00556,0.03314,0.18502000000000002,5.0246200000000005,0.83354,269.70294,275.74611999999996
BENICALAP,1000,M1,361.0,42.0,412.0,236.0,3.0,56.0264,11.8711,14.779599999999999,0.5429999999999999,2.71946,0.0,312.33884,0.0,315.05828
BENICALAP,1000,M2,361.0,42.0,412.0,236.0,3.0,94.9744,20.02514,1.6483599999999998,0.0541,0.30328,5.22358,1.36168,280.50194,287.39052000000004
BENICALAP,1050,M1,361.0,42.0,412.0,241.8,3.0,61.287400000000005,12.96694,14.707999999999998,0.53278,2.70628,0.0,339.65304000000003,0.0,342.35929999999996
BENICALAP,1050,M2,361.0,42.0,412.0,241.8,3.0,99.44879999999999,20.95104,1.28736,0.0434,0.23686,5.469679999999999,1.09148,293.47156,300.26958
BENIMACLET,50,M1,417.0,39.0,163.0,18.0,3.0,6.697,1.4339600000000001,7.458799999999999,0.34972,1.37242,0.0,44.8772,0.0,46.24962
BENIMACLET,50,M2,417.0,39.0,163.0,18.0,3.0,11.587,2.46184,1.3272400000000002,0.05888,0.24420000000000003,0.6373,1.48082,34.48422,36.84654
BENIMACLET,100,M1,417.0,39.0,163.0,35.0,3.0,12.116,2.58086,8.716,0.43368,1.60376,0.0,75.84608,0.0,77.44980000000001
BENIMACLET,100,M2,417.0,39.0,163.0,35.0,3.0,16.555,3.5262599999999997,0.9813600000000001,0.04808,0.18056,0.9105599999999999,1.20962,49.394420000000004,51.6952
