id,barrio,x,y
30886298,EL BOTANIC,-0.3878418,39.4745676
30886300,EL BOTANIC,-0.3871722,39.4736246
30886301,EL BOTANIC,-0.386615,39.472819
30886323,EL BOTANIC,-0.3840175,39.4746794
82765306,EL BOTANIC,-0.3840599,39.4765152
82765308,EL BOTANIC,-0.3838488,39.4775856
82765309,EL BOTANIC,-0.3837082,39.4782846
85811549,EL BOTANIC,-0.3839812,39.4769615
1783289907,EL BOTANIC,-0.3894549,39.4768361
4579851915,EL BOTANIC,-0.3831529,39.4801237
4890714811,EL BOTANIC,-0.3888035,39.4759059
29935836,EL BOTANIC,-0.383482,39.4703683
29935838,EL BOTANIC,-0.3839244,39.4715679
30886270,EL BOTANIC,-0.383935,39.4696006
30886302,EL BOTANIC,-0.3854981,39.4712193
168356755,EL BOTANIC,-0.3846981,39.4703418
604972802,EL BOTANIC,-0.3840856,39.4751955
1064897553,EL BOTANIC,-0.3854,39.4801417
1554039257,EL BOTANIC,-0.3887454,39.4786677
1554039271,EL BOTANIC,-0.38742,39.4791749
1554039307,EL BOTANIC,-0.3868082,39.4794404
1554039341,EL BOTANIC,-0.3862666,39.4797712
1554039382,EL BOTANIC,-0.384609,39.480551
1554039399,EL BOTANIC,-0.3832941,39.4808822
2821125800,EL BOTANIC,-0.3902303,39.4779197
2821126111,EL BOTANIC,-0.3900275,39.4783888
12168684569,EL BOTANIC,-0.3840436,39.4732421
62838373,SANT ISIDRE,-0.4054861,39.4552701
62858527,SANT ISIDRE,-0.4060702,39.4548292
96084585,SANT ISIDRE,-0.3998976,39.4534198
100997235,SANT ISIDRE,-0.4077049,39.453584
101008282,SANT ISIDRE,-0.4082488,39.4531281
110418639,SANT ISIDRE,-0.4019889,39.4579031
111179629,SANT ISIDRE,-0.4027964,39.4577071
254902143,SANT ISIDRE,-0.4006226,39.4570413
254902191,SANT ISIDRE,-0.3982859,39.454625
255172062,SANT ISIDRE,-0.399506,39.4554922
255963442,SANT ISIDRE,-0.4086383,39.4526678
430294823,SANT ISIDRE,-0.3992053,39.4538842
729590443,SANT ISIDRE,-0.4066642,39.4542754
1113130262,SANT ISIDRE,-0.404562,39.4560126
1774906217,SANT ISIDRE,-0.4070877,39.4539559
1785749947,SANT ISIDRE,-0.403578,39.4502653
2104102489,SANT ISIDRE,-0.4037932,39.4567218
2117742386,SANT ISIDRE,-0.4015294,39.4576133
2529492545,SANT ISIDRE,-0.4049697,39.4556481
12309792140,SANT ISIDRE,-0.4053828,39.4481725
7026816358,SANT ISIDRE,-0.3989968,39.4549896
11013720044,SANT ISIDRE,-0.4000568,39.4564096
11694668334,SANT ISIDRE,-0.4026554,39.4510723
11694668336,SANT ISIDRE,-0.4017152,39.4519115
90771153,BENIMACLET,-0.3547883,39.4782745
109319429,BENIMACLET,-0.3520789,39.4816179
112020002,BENIMACLET,-0.3544663,39.478939
112023167,BENIMACLET,-0.3554331,39.4784907
132010547,BENIMACLET,-0.3595687,39.4814907
132010623,BENIMACLET,-0.3539678,39.4822486
132010633,BENIMACLET,-0.3568136,39.4794425
132029967,BENIMACLET,-0.3635564,39.4852282
132029980,BENIMACLET,-0.3652473,39.4857061
132030012,BENIMACLET,-0.3693184,39.4869958
132030022,BENIMACLET,-0.368259,39.4864558
132030053,BENIMACLET,-0.3623494,39.4847421
132071483,BENIMACLET,-0.368684,39.4876975
141589259,BENIMACLET,-0.3670114,39.4861113
252650149,BENIMACLET,-0.3675808,39.4883839
252650156,BENIMACLET,-0.3652145,39.4895522
257843417,BENIMACLET,-0.3602748,39.4889496
257843418,BENIMACLET,-0.3572552,39.4885841
257843487,BENIMACLET,-0.3626306,39.4842122
257843488,BENIMACLET,-0.362194,39.4834447
257843506,BENIMACLET,-0.3564087,39.4859618
257843516,BENIMACLET,-0.3540477,39.4843911
257843522,BENIMACLET,-0.3551293,39.4858425
257843523,BENIMACLET,-0.3557875,39.4859048
257843526,BENIMACLET,-0.3539401,39.4850571
257843529,BENIMACLET,-0.3568757,39.4870179
257843531,BENIMACLET,-0.3576142,39.4870814
257843548,BENIMACLET,-0.3589634,39.4810389
257843551,BENIMACLET,-0.3576963,39.4800951
257843595,BENIMACLET,-0.3573782,39.4881214
257843596,BENIMACLET,-0.360491,39.4885106
257843597,BENIMACLET,-0.3618593,39.488558
257843599,BENIMACLET,-0.3574925,39.4876145
257843614,BENIMACLET,-0.3578217,39.4887654
257843617,BENIMACLET,-0.3590106,39.4889085
257843687,BENIMACLET,-0.3628305,39.4878032
257843703,BENIMACLET,-0.3648134,39.4874745
257843706,BENIMACLET,-0.3647396,39.4891978
257843707,BENIMACLET,-0.3653479,39.4887664
257843718,BENIMACLET,-0.3634056,39.4873366
257843721,BENIMACLET,-0.3652411,39.4878033
257843722,BENIMACLET,-0.3639842,39.486868
257843726,BENIMACLET,-0.3647119,39.4862788
428941267,BENIMACLET,-0.3524116,39.4808836
